Files,Before,Size,After,Time
0,179571724288,512000,179047436288,0.267099
0,179047436288,1024000,178523148288,0.269836
0,178523148288,1536000,177998860288,0.262485
0,177998860288,2048000,177474572288,0.266861
0,177474572288,2560000,176950284288,0.264444
0,176950284288,3072000,176425996288,0.257386
0,176425996288,3584000,175901704192,0.263027
0,175901704192,4096000,175377416192,0.261428
0,175377416192,4608000,174853120000,0.271758
0,174853120000,5120000,174328832000,0.268652
0,174328832000,5632000,173804544000,0.272844
0,173804544000,6144000,173280239616,0.255581
0,173280239616,6656000,172755951616,0.264784
0,172755951616,7168000,172231663616,0.259048
0,172231663616,7680000,171707367424,0.255804
0,171707367424,8192000,171183075328,0.27267
0,171183075328,8704000,170658787328,0.2628
0,170658787328,9216000,170134491136,0.27331
0,170134491136,9728000,169610203136,0.267986
0,169610203136,10240000,169085915136,0.295208
0,169085915136,10752000,168561614848,0.270092
0,168561614848,11264000,168037322752,0.273276
0,168037322752,11776000,167513034752,0.263507
0,167513034752,12288000,166988738560,0.266159
0,166988738560,12800000,166464450560,0.268172
0,166464450560,13312000,165940158464,0.257977
0,165940158464,13824000,165415862272,0.279359
0,165415862272,14336000,164891566080,0.259481
0,164891566080,14848000,164367278080,0.276695
0,164367278080,15360000,163842977792,0.262934
0,163842977792,15872000,163318685696,0.25899
0,163318685696,16384000,162794397696,0.259461
0,162794397696,16896000,162270109696,0.261183
0,162270109696,17408000,161745809408,0.268593
0,161745809408,17920000,161221513216,0.258788
0,161221513216,18432000,160697225216,0.254349
0,160697225216,18944000,160172933120,0.262917
0,160172933120,19456000,159648645120,0.285878
0,159648645120,19968000,159124353024,0.267734
0,159124353024,20480000,158600060928,0.273032
0,158600060928,20992000,158075768832,0.263454
0,158075768832,21504000,157551476736,0.263685
0,157551476736,22016000,157027184640,0.294879
0,157027184640,22528000,156502888448,0.260475
0,156502888448,23040000,155978592256,0.267161
0,155978592256,23552000,155454300160,0.264128
0,155454300160,24064000,154930012160,0.262075
0,154930012160,24576000,154405724160,0.274723
0,154405724160,25088000,153881432064,0.259795
0,153881432064,25600000,153357144064,0.262544
0,153357144064,26112000,152832851968,0.260917
0,152832851968,26624000,152308563968,0.29148
0,152308563968,27136000,151784275968,0.269894
0,151784275968,27648000,151259971584,0.260281
0,151259971584,28160000,150735683584,0.282567
0,150735683584,28672000,150211395584,0.25789
0,150211395584,29184000,149687095296,0.265273
0,149687095296,29696000,149162807296,0.270584
0,149162807296,30208000,148638519296,0.263672
0,148638519296,30720000,148114223104,0.271364
0,148114223104,31232000,147589931008,0.273126
0,147589931008,31744000,147065643008,0.270232
0,147065643008,32256000,146541346816,0.263359
0,146541346816,32768000,146017058816,0.258764
0,146017058816,33280000,145492770816,0.26094
0,145492770816,33792000,144968470528,0.262164
0,144968470528,34304000,144444182528,0.270719
0,144444182528,34816000,143919890432,0.261944
0,143919890432,35328000,143395581952,0.258101
0,143395581952,35840000,142871293952,0.269918
0,142871293952,36352000,142346997760,0.277043
0,142346997760,36864000,141822709760,0.265115
0,141822709760,37376000,141298417664,0.257095
0,141298417664,37888000,140774121472,0.255543
0,140774121472,38400000,140249829376,0.255445
0,140249829376,38912000,139725541376,0.25889
0,139725541376,39424000,139201253376,0.259057
0,139201253376,39936000,138676961280,0.262968
0,138676961280,40448000,138152669184,0.271018
0,138152669184,40960000,137628377088,0.300421
0,137628377088,41472000,137104080896,0.273882
0,137104080896,41984000,136579788800,0.273187
0,136579788800,42496000,136055500800,0.268983
0,136055500800,43008000,135531204608,0.266845
0,135531204608,43520000,135006916608,0.260627
0,135006916608,44032000,134482620416,0.266484
0,134482620416,44544000,133958324224,0.255891
0,133958324224,45056000,133434036224,0.255353
0,133434036224,45568000,132909740032,0.298584
0,132909740032,46080000,132385452032,0.274595
0,132385447936,46592000,131861159936,0.268081
0,131861159936,47104000,131336871936,0.271665
0,131336871936,47616000,130812579840,0.263284
0,130812579840,48128000,130288283648,0.263137
0,130288283648,48640000,129763995648,0.257646
0,129763995648,49152000,129239703552,0.27055
0,129239703552,49664000,128715411456,0.266673
0,128715411456,50176000,128191123456,0.305493
0,128191123456,50688000,127666827264,0.267178
0,127666827264,51200000,127142539264,0.267946
0,127142539264,51712000,126618251264,0.26293
0,126618251264,52224000,126093950976,0.2659
0,126093950976,52736000,125569658880,0.264107
0,125569658880,53248000,125045370880,0.26509
0,125045370880,53760000,124521074688,0.27214
0,124521074688,54272000,123996782592,0.264911
0,123996782592,54784000,123472494592,0.271053
0,123472494592,55296000,122948198400,0.261395
0,122948198400,55808000,122423910400,0.266067
0,122423910400,56320000,121899622400,0.258875
0,121899622400,56832000,121375322112,0.257982
0,121375322112,57344000,120851025920,0.262537
0,120851025920,57856000,120326737920,0.253924
0,120326737920,58368000,119802445824,0.267053
0,119802445824,58880000,119278153728,0.260318
0,119278153728,59392000,118753865728,0.307646
0,118753865728,59904000,118229565440,0.261557
0,118229565440,60416000,117705277440,0.255782
0,117705277440,60928000,117180989440,0.264517
0,117180989440,61440000,116656693248,0.267696
0,116656693248,61952000,116132405248,0.274402
0,116132405248,62464000,115608104960,0.27464
0,115608104960,62976000,115083812864,0.271571
0,115083812864,63488000,114559520768,0.267627
0,114559520768,64000000,114035228672,0.272118
0,114035228672,64512000,113510936576,0.267069
0,113510936576,65024000,112986644480,0.258168
0,112986644480,65536000,112462352384,0.258007
0,112462352384,66048000,111938064384,0.259464
0,111938064384,66560000,111413772288,0.269872
0,111413772288,67072000,110889480192,0.282467
0,110889480192,67584000,110365192192,0.269205
0,110365192192,68096000,109840896000,0.274563
0,109840896000,68608000,109316608000,0.26558
0,109316608000,69120000,108792320000,0.263494
0,108792320000,69632000,108268019712,0.26073
0,108268019712,70144000,107743727616,0.260629
0,107743727616,70656000,107219439616,0.261609
0,107219439616,71168000,106695143424,0.260265
0,106695143424,71680000,106170851328,0.279902
0,106170851328,72192000,105646563328,0.286819
0,105646563328,72704000,105122263040,0.265106
0,105122263040,73216000,104597970944,0.270194
0,104597970944,73728000,104073682944,0.288757
0,104073682944,74240000,103549390848,0.27922
0,103549390848,74752000,103025098752,0.258826
0,103025098752,75264000,102500810752,0.254819
0,102500810752,75776000,101976514560,0.271205
0,101976514560,76288000,101452218368,0.269142
0,101452218368,76800000,100927930368,0.269169
0,100927930368,77312000,100403638272,0.275458
0,100403638272,77824000,99879346176,0.255749
0,99879346176,78336000,99355058176,0.281011
0,99355058176,78848000,98830761984,0.260585
0,98830761984,79360000,98306469888,0.267013
0,98306469888,79872000,97782181888,0.255662
0,97782181888,80384000,97257881600,0.256255
0,97257881600,80896000,96733593600,0.266051
