Files,Before,Size,After
0,44334504,0,44334504
1,44334504,524288000,44206504
2,44334504,1048576000,44078504
3,44334504,1572864000,43950504
4,44334504,2097152000,43822504
5,44334504,2621440000,43694504
6,44334504,3145728000,43566504
7,44334504,3670016000,43438503
8,44334504,4194304000,43310501
9,44334504,4718592000,43182500
10,44334504,5242880000,43054498
11,44334503,5767168000,42926497
12,44334503,6291456000,42798497
13,44334503,6815744000,42670494
14,44334503,7340032000,42542488
15,44334500,7864320000,42414490
16,44334500,8388608000,42286488
17,44334500,8912896000,42158487
18,44334500,9437184000,42030484
19,44334499,9961472000,41902485
20,44334499,10485760000,41774484
21,44334499,11010048000,41646484
22,44334499,11534336000,41518481
23,44334498,12058624000,41390480
24,44334498,12582912000,41262479
25,44334498,13107200000,41134477
26,44334498,13631488000,41006477
27,44334498,14155776000,40878474
28,44334495,14680064000,40750473
29,44334495,15204352000,40622471
30,44334495,15728640000,40494468
31,44334494,16252928000,40366469
32,44334494,16777216000,40238468
33,44334494,17301504000,40110466
34,44334493,17825792000,39982465
35,44334493,18350080000,39854464
36,44334493,18874368000,39726457
37,44334490,19398656000,39598455
38,44334486,19922944000,39470453
39,44334485,20447232000,39342451
40,44334485,20971520000,39214450
41,44334485,21495808000,39086450
42,44334484,22020096000,38958448
43,44334484,22544384000,38830444
44,44334481,23068672000,38702439
45,44334481,23592960000,38574441
46,44334480,24117248000,38446439
47,44334480,24641536000,38318436
48,44334479,25165824000,38190436
49,44334480,25690112000,38062433
