Number,Inserted,Space
174,9.01775e+09,42002389
173,8.96532e+09,42015201
172,8.9129e+09,42028016
171,8.86047e+09,42040829
170,8.80804e+09,42053642
169,8.75561e+09,42066455
168,8.70318e+09,42079268
167,8.65075e+09,42092081
166,8.59832e+09,42104894
165,8.54589e+09,42117707
164,8.49347e+09,42130520
163,8.44104e+09,42143333
162,8.38861e+09,42156145
161,8.33618e+09,42168958
160,8.28375e+09,42181771
159,8.23132e+09,42194584
158,8.17889e+09,42207395
157,8.12646e+09,42220208
156,8.07404e+09,42233021
155,8.02161e+09,42245834
154,7.96918e+09,42258645
153,7.91675e+09,42271458
152,7.86432e+09,42284271
151,7.81189e+09,42297084
150,7.75946e+09,42309897
149,7.70703e+09,42322710
148,7.6546e+09,42335522
147,7.60218e+09,42348335
146,7.54975e+09,42361148
145,7.49732e+09,42373961
144,7.44489e+09,42386774
143,7.39246e+09,42399587
142,7.34003e+09,42412400
141,7.2876e+09,42425213
140,7.23517e+09,42438026
139,7.18275e+09,42450839
138,7.13032e+09,42463652
137,7.07789e+09,42476465
136,7.02546e+09,42489278
135,6.97303e+09,42502091
134,6.9206e+09,42514904
133,6.86817e+09,42527717
132,6.81574e+09,42540530
131,6.76332e+09,42553343
130,6.71089e+09,42566156
129,6.65846e+09,42578969
128,6.60603e+09,42591781
127,6.5536e+09,42604594
126,6.50117e+09,42617407
125,6.44874e+09,42630220
124,6.39631e+09,42643033
123,6.34388e+09,42655846
122,6.29146e+09,42668659
121,6.23903e+09,42681473
120,6.1866e+09,42694286
119,6.13417e+09,42707099
118,6.08174e+09,42719911
117,6.02931e+09,42732724
116,5.97688e+09,42745537
115,5.92445e+09,42758350
114,5.87203e+09,42771163
113,5.8196e+09,42783976
112,5.76717e+09,42796789
111,5.71474e+09,42809602
110,5.66231e+09,42822415
109,5.60988e+09,42835228
108,5.55745e+09,42848041
107,5.50502e+09,42860854
106,5.4526e+09,42873667
105,5.40017e+09,42886480
104,5.34774e+09,42899293
103,5.29531e+09,42912106
102,5.24288e+09,42924919
101,5.19045e+09,42937732
100,5.13802e+09,42950545
99,5.08559e+09,42963358
98,5.03316e+09,42976171
97,4.98074e+09,42988984
96,4.92831e+09,43001797
95,4.87588e+09,43014610
94,4.82345e+09,43027423
93,4.77102e+09,43040236
92,4.71859e+09,43053049
91,4.66616e+09,43065862
90,4.61373e+09,43078675
89,4.56131e+09,43091488
88,4.50888e+09,43104301
87,4.45645e+09,43117114
86,4.40402e+09,43129927
85,4.35159e+09,43142740
84,4.29916e+09,43155553
83,4.24673e+09,43168365
82,4.1943e+09,43181178
81,4.14188e+09,43193991
80,4.08945e+09,43206804
79,4.03702e+09,43219617
78,3.98459e+09,43232430
77,3.93216e+09,43245243
76,3.87973e+09,43258056
75,3.8273e+09,43270869
74,3.77487e+09,43283682
73,3.72244e+09,43296495
72,3.67002e+09,43309308
71,3.61759e+09,43322121
70,3.56516e+09,43334934
69,3.51273e+09,43347747
68,3.4603e+09,43360560
67,3.40787e+09,43373372
66,3.35544e+09,43386185
65,3.30301e+09,43398998
64,3.25059e+09,43411811
63,3.19816e+09,43424624
62,3.14573e+09,43437437
61,3.0933e+09,43450250
60,3.04087e+09,43463063
59,2.98844e+09,43475876
58,2.93601e+09,43488689
57,2.88358e+09,43501502
56,2.83116e+09,43514315
55,2.77873e+09,43527128
54,2.7263e+09,43539941
53,2.67387e+09,43552754
52,2.62144e+09,43565558
51,2.56901e+09,43578371
50,2.51658e+09,43591183
49,2.46415e+09,43603996
48,2.41172e+09,43616809
47,2.3593e+09,43629622
46,2.30687e+09,43642435
45,2.25444e+09,43655248
44,2.20201e+09,43668061
43,2.14958e+09,43680874
42,2.09715e+09,43693687
41,2.04472e+09,43706500
40,1.99229e+09,43719313
39,1.93987e+09,43732126
38,1.88744e+09,43744939
37,1.83501e+09,43757752
36,1.78258e+09,43770565
35,1.73015e+09,43783378
34,1.67772e+09,43796191
33,1.62529e+09,43809004
32,1.57286e+09,43821817
31,1.52044e+09,43834630
30,1.46801e+09,43847443
29,1.41558e+09,43860256
28,1.36315e+09,43873069
27,1.31072e+09,43885882
26,1.25829e+09,43898695
25,1.20586e+09,43911508
24,1.15343e+09,43924321
23,1.101e+09,43937134
22,1.04858e+09,43949947
21,9.96147e+08,43962760
20,9.43718e+08,43975573
19,8.9129e+08,43988386
18,8.38861e+08,44001199
17,7.86432e+08,44014012
16,7.34003e+08,44026825
15,6.81574e+08,44039638
14,6.29146e+08,44052451
13,5.76717e+08,44065264
12,5.24288e+08,44078077
11,4.71859e+08,44090890
10,4.1943e+08,44103703
9,3.67002e+08,44116516
8,3.14573e+08,44129329
7,2.62144e+08,44142142
6,2.09715e+08,44154955
5,1.57286e+08,44167768
4,1.04858e+08,44180581
3,5.24288e+07,44193395
2,0,44206207
