Number,Inserted,Space,Time
1,5.24288e+08,178476380160,1.07126
2,1.04858e+09,177951580160,1.07848
3,1.57286e+09,177426780160,1.06955
4,2.09715e+09,176901980160,1.07728
5,2.62144e+09,176377180160,1.06963
6,3.14573e+09,175852380160,1.07975
7,3.67002e+09,175327580160,1.07349
8,4.1943e+09,174802771968,1.07138
9,4.71859e+09,174277971968,1.10548
10,5.24288e+09,173753171968,1.07224
11,5.76717e+09,173228371968,1.08135
12,6.29146e+09,172703571968,1.08706
13,6.81574e+09,172178771968,1.09198
14,7.34003e+09,171653967872,1.10987
15,7.86432e+09,171129163776,1.08008
16,8.38861e+09,170604363776,1.07704
17,8.9129e+09,170079563776,1.07815
18,9.43718e+09,169554763776,1.13766
19,9.96147e+09,169029963776,1.29279
20,1.04858e+10,168505163776,1.08452
21,1.101e+10,167980363776,1.07598
22,1.15343e+10,167455559680,1.07909
23,1.20586e+10,166930759680,1.12141
24,1.25829e+10,166405959680,1.07837
25,1.31072e+10,165881159680,1.07399
26,1.36315e+10,165356359680,1.07273
27,1.41558e+10,164831559680,1.07521
28,1.46801e+10,164306759680,1.10247
29,1.52044e+10,163781955584,1.06846
30,1.57286e+10,163257155584,1.07517
31,1.62529e+10,162732355584,1.0856
32,1.67772e+10,162207555584,1.08145
33,1.73015e+10,161682755584,1.08268
34,1.78258e+10,161157955584,1.07821
35,1.83501e+10,160633155584,1.0809
36,1.88744e+10,160108351488,1.08683
37,1.93987e+10,159583551488,1.07536
38,1.99229e+10,159058751488,1.09635
39,2.04472e+10,158533951488,1.07519
40,2.09715e+10,158009151488,1.08575
41,2.14958e+10,157484351488,1.07394
42,2.20201e+10,156959551488,1.06777
43,2.25444e+10,156434747392,1.10243
44,2.30687e+10,155909947392,1.07768
45,2.3593e+10,155385147392,1.04463
46,2.41172e+10,154860347392,1.07331
47,2.46415e+10,154335547392,1.0742
48,2.51658e+10,153810747392,1.0884
49,2.56901e+10,153285947392,1.08649
50,2.62144e+10,152761143296,1.08405
51,2.56901e+10,153285947392,141.838
50,2.51658e+10,153810747392,138.512
49,2.46415e+10,154335547392,135.044
48,2.41172e+10,154860347392,131.544
47,2.3593e+10,155385143296,130.545
46,2.30687e+10,155909935104,126.399
45,2.25444e+10,156434739200,121.792
44,2.20201e+10,156959543296,120.205
43,2.14958e+10,157484343296,119.4
42,2.09715e+10,158009151488,115.041
41,2.04472e+10,158533951488,113.101
40,1.99229e+10,159058747392,111.204
39,1.93987e+10,159583547392,106.89
38,1.88744e+10,160108347392,102.704
37,1.83501e+10,160633147392,100.552
36,1.78258e+10,161157943296,98.4871
35,1.73015e+10,161682743296,94.9844
34,1.67772e+10,162207543296,92.2013
33,1.62529e+10,162732343296,90.5033
32,1.57286e+10,163257143296,87.5054
31,1.52044e+10,163781943296,84.0174
30,1.46801e+10,164306747392,81.353
29,1.41558e+10,164831547392,78.0871
28,1.36315e+10,165356347392,75.5961
27,1.31072e+10,165881147392,72.9553
26,1.25829e+10,166405947392,67.7821
25,1.20586e+10,166930747392,65.1674
24,1.15343e+10,167455551488,61.7646
23,1.101e+10,167980347392,59.7209
22,1.04858e+10,168505147392,58.9211
21,9.96147e+09,169029947392,56.705
20,9.43718e+09,169554743296,53.6883
19,8.9129e+09,170079543296,50.8873
18,8.38861e+09,170604343296,47.4573
17,7.86432e+09,171129143296,44.7928
16,7.34003e+09,171653947392,40.0056
15,6.81574e+09,172178747392,36.3112
14,6.29146e+09,172703547392,31.5825
13,5.76717e+09,173228347392,30.1408
12,5.24288e+09,173753147392,27.0585
11,4.71859e+09,174277947392,25.5723
10,4.1943e+09,174802747392,22.7974
9,3.67002e+09,175327555584,19.6475
8,3.14573e+09,175852355584,18.7594
7,2.62144e+09,176377155584,15.9095
6,2.09715e+09,176901955584,12.3163
5,1.57286e+09,177426755584,9.79165
4,1.04858e+09,177951555584,7.15279
3,5.24288e+08,178476355584,4.70113
2,0,179001155584,1.99037
1,5.24288e+08,178476355584,1.34019
2,1.04858e+09,177951555584,1.09703
3,1.57286e+09,177426755584,1.08687
4,2.09715e+09,176901955584,1.08413
5,2.62144e+09,176377155584,1.0925
6,3.14573e+09,175852355584,1.11155
7,3.67002e+09,175327555584,1.07676
8,4.1943e+09,174802747392,1.08894
9,4.71859e+09,174277947392,1.08593
10,5.24288e+09,173753147392,1.08552
11,5.76717e+09,173228347392,1.10941
12,6.29146e+09,172703547392,1.08383
13,6.81574e+09,172178747392,1.08103
14,7.34003e+09,171653947392,1.08476
15,7.86432e+09,171129143296,1.07989
16,8.38861e+09,170604339200,1.10885
17,8.9129e+09,170079539200,1.09002
18,9.43718e+09,169554739200,1.09546
19,9.96147e+09,169029939200,1.09084
20,1.04858e+10,168505139200,1.08972
21,1.101e+10,167980339200,1.10109
22,1.15343e+10,167455535104,1.09289
23,1.20586e+10,166930735104,1.09518
24,1.25829e+10,166405935104,1.09883
25,1.31072e+10,165881135104,1.10497
26,1.36315e+10,165356335104,1.11911
27,1.41558e+10,164831535104,1.10001
28,1.46801e+10,164306735104,1.09502
29,1.52044e+10,163781931008,1.09097
30,1.57286e+10,163257131008,1.09867
31,1.62529e+10,162732331008,1.09418
32,1.67772e+10,162207531008,1.09064
33,1.73015e+10,161682731008,1.09021
34,1.78258e+10,161157931008,1.09274
35,1.83501e+10,160633131008,1.10978
36,1.88744e+10,160108326912,1.10103
37,1.93987e+10,159583526912,1.10007
38,1.99229e+10,159058726912,1.10359
39,2.04472e+10,158533926912,1.1053
40,2.09715e+10,158009126912,1.10537
41,2.14958e+10,157484326912,1.10048
42,2.20201e+10,156959526912,1.10855
43,2.25444e+10,156434722816,1.10118
44,2.30687e+10,155909922816,1.1028
45,2.3593e+10,155385122816,1.09521
46,2.41172e+10,154860322816,1.09095
47,2.46415e+10,154335522816,1.10074
48,2.51658e+10,153810722816,1.10152
49,2.56901e+10,153285922816,1.10962
50,2.62144e+10,152761118720,1.11927
51,2.56901e+10,153285922816,139.25
50,2.51658e+10,153810718720,137.247
49,2.46415e+10,154335518720,135.219
48,2.41172e+10,154860318720,130.01
47,2.3593e+10,155385118720,128.836
46,2.30687e+10,155909918720,126.425
45,2.25444e+10,156434718720,124.266
44,2.20201e+10,156959510528,120.86
43,2.14958e+10,157484298240,119.217
42,2.09715e+10,158009094144,116.564
41,2.04472e+10,158533894144,112.72
40,1.99229e+10,159058694144,109.607
39,1.93987e+10,159583494144,105.219
38,1.88744e+10,160108294144,104.036
37,1.83501e+10,160633094144,101.113
36,1.78258e+10,161157890048,98.2935
35,1.73015e+10,161682690048,95.4778
34,1.67772e+10,162207490048,92.8797
33,1.62529e+10,162732290048,90.1527
32,1.57286e+10,163257090048,87.0831
31,1.52044e+10,163781890048,83.7743
30,1.46801e+10,164306694144,81.0085
29,1.41558e+10,164831494144,78.0326
28,1.36315e+10,165356294144,75.8618
27,1.31072e+10,165881094144,72.6217
26,1.25829e+10,166405894144,69.3917
25,1.20586e+10,166930694144,67.218
24,1.15343e+10,167455490048,64.7438
23,1.101e+10,167980294144,61.8431
22,1.04858e+10,168505094144,57.8306
21,9.96147e+09,169029894144,56.0191
20,9.43718e+09,169554694144,53.1901
19,8.9129e+09,170079490048,50.1059
18,8.38861e+09,170604290048,46.8563
17,7.86432e+09,171129090048,44.5531
16,7.34003e+09,171653894144,40.074
15,6.81574e+09,172178694144,36.8295
14,6.29146e+09,172703494144,31.9064
