Number,Inserted,Space,Time
160,8.38861e+09,171366305792,0.120011
161,8.44104e+09,171313823744,0.117529
162,8.49347e+09,171261341696,0.115625
163,8.54589e+09,171208859648,0.116745
164,8.59832e+09,171156377600,0.117348
165,8.65075e+09,171103895552,0.118059
166,8.70318e+09,171051413504,0.120407
167,8.75561e+09,170998931456,0.115318
168,8.80804e+09,170946449408,0.122325
169,8.86047e+09,170893967360,0.116231
170,8.9129e+09,170841485312,0.119853
171,8.96532e+09,170789003264,0.119183
172,9.01775e+09,170736521216,0.12067
173,9.07018e+09,170684039168,0.11912
174,9.12261e+09,170631557120,0.121377
175,9.17504e+09,170579075072,0.120986
176,9.22747e+09,170526593024,0.117551
177,9.2799e+09,170474110976,0.11819
178,9.33233e+09,170421628928,0.121768
179,9.38476e+09,170369146880,0.121108
180,9.43718e+09,170316664832,0.151205
181,9.48961e+09,170264182784,0.119512
182,9.54204e+09,170211700736,0.117332
183,9.59447e+09,170159218688,0.119008
184,9.6469e+09,170106736640,0.118845
185,9.69933e+09,170054254592,0.118413
186,9.75176e+09,170001772544,0.116348
187,9.80419e+09,169949290496,0.118457
188,9.85661e+09,169896808448,0.119523
189,9.90904e+09,169844326400,0.121724
190,9.96147e+09,169791844352,0.119667
191,1.00139e+10,169739362304,0.120543
192,1.00663e+10,169686880256,0.118644
193,1.01188e+10,169634398208,0.117753
194,1.01712e+10,169581916160,0.115293
195,1.02236e+10,169529434112,0.116832
196,1.0276e+10,169476952064,0.119214
197,1.03285e+10,169424470016,0.116657
198,1.03809e+10,169371987968,0.118571
199,1.04333e+10,169319505920,0.11976
200,1.04858e+10,169267023872,0.11892
201,1.04333e+10,169267023872,0.130047
200,1.03809e+10,169267023872,0.134448
199,1.03285e+10,169267023872,0.131649
198,1.0276e+10,169267023872,0.177139
197,1.02236e+10,169267023872,0.126096
196,1.01712e+10,169267023872,0.150981
195,1.01188e+10,169267023872,0.126332
194,1.00663e+10,169267023872,0.169605
193,1.00139e+10,169267023872,0.197857
192,9.96147e+09,169267023872,0.214293
191,9.90904e+09,169267023872,0.212987
190,9.85661e+09,169267023872,0.150051
189,9.80419e+09,169267023872,0.184874
188,9.75176e+09,169267023872,0.204779
187,9.69933e+09,169267023872,0.210755
186,9.6469e+09,169267023872,0.201174
185,9.59447e+09,169267023872,0.165789
184,9.54204e+09,169267023872,0.15454
183,9.48961e+09,169267023872,0.20308
182,9.43718e+09,169267023872,0.195182
181,9.38476e+09,169267019776,0.199929
180,9.33233e+09,169267019776,0.188591
179,9.2799e+09,169267019776,0.154864
178,9.22747e+09,169267019776,0.189387
177,9.17504e+09,169267019776,0.200492
176,9.12261e+09,169267019776,0.193442
175,9.07018e+09,169267019776,0.205502
174,9.01775e+09,169267019776,0.182284
173,8.96532e+09,169267019776,0.218841
172,8.9129e+09,169267019776,0.185569
171,8.86047e+09,169267019776,0.180843
170,8.80804e+09,169267019776,0.174973
169,8.75561e+09,169267019776,0.194917
168,8.70318e+09,169267019776,0.142265
167,8.65075e+09,169267019776,0.195191
166,8.59832e+09,169267019776,0.167815
165,8.54589e+09,169267019776,0.146102
164,8.49347e+09,169267019776,0.197638
163,8.44104e+09,169267019776,0.150774
162,8.38861e+09,169267019776,0.193737
161,8.33618e+09,169267019776,0.144714
160,8.28375e+09,169267019776,0.201249
159,8.23132e+09,169267019776,0.171236
158,8.17889e+09,169267019776,0.185507
157,8.12646e+09,169267019776,0.200226
156,8.07404e+09,169267019776,0.144264
155,8.02161e+09,169267019776,0.206795
154,7.96918e+09,169267019776,0.140611
153,7.91675e+09,169267019776,0.189825
152,7.86432e+09,169267019776,0.179642
151,7.81189e+09,169267019776,0.142067
150,7.75946e+09,169267019776,0.169877
149,7.70703e+09,169267019776,0.167551
148,7.6546e+09,169267019776,0.142156
147,7.60218e+09,169267019776,0.138713
146,7.54975e+09,169267019776,0.125868
145,7.49732e+09,169267019776,0.156548
144,7.44489e+09,169267019776,0.143047
143,7.39246e+09,169267019776,0.133715
142,7.34003e+09,169267019776,0.146562
141,7.2876e+09,169267019776,0.150703
140,7.23517e+09,169267019776,0.222174
139,7.18275e+09,169267019776,0.175094
138,7.13032e+09,169267019776,0.126134
137,7.07789e+09,169267019776,0.144405
136,7.02546e+09,169267019776,0.197657
135,6.97303e+09,169267019776,0.193699
134,6.9206e+09,169267019776,0.198335
133,6.86817e+09,169267019776,0.218746
132,6.81574e+09,169267019776,0.157823
131,6.76332e+09,169267019776,0.160889
130,6.71089e+09,169267019776,0.163808
129,6.65846e+09,169267019776,0.171929
128,6.60603e+09,169267019776,0.179398
127,6.5536e+09,169267019776,0.191531
126,6.50117e+09,169267019776,0.161134
125,6.44874e+09,169267019776,0.211981
124,6.39631e+09,169267019776,0.152691
123,6.34388e+09,169267019776,0.214733
122,6.29146e+09,169267019776,0.144037
121,6.23903e+09,169267019776,0.200009
120,6.1866e+09,169267019776,0.196369
119,6.13417e+09,169267019776,0.167644
118,6.08174e+09,169267019776,0.154675
117,6.02931e+09,169267019776,0.198445
116,5.97688e+09,169267019776,0.136778
115,5.92445e+09,169267019776,0.15677
114,5.87203e+09,169267019776,0.20435
113,5.8196e+09,169267019776,0.136331
112,5.76717e+09,169267019776,0.182599
111,5.71474e+09,169267019776,0.15773
110,5.66231e+09,169267019776,0.218066
109,5.60988e+09,169267019776,0.189402
108,5.55745e+09,169267019776,0.161043
107,5.50502e+09,169267019776,0.176324
106,5.4526e+09,169267019776,0.185961
105,5.40017e+09,169267019776,0.188964
104,5.34774e+09,169267019776,0.13027
103,5.29531e+09,169267019776,0.207187
102,5.24288e+09,169267019776,0.148652
101,5.19045e+09,169267019776,0.201634
100,5.13802e+09,169267019776,0.169635
99,5.08559e+09,169267019776,0.126793
98,5.03316e+09,169267019776,0.182384
97,4.98074e+09,169267019776,0.144346
96,4.92831e+09,169267019776,0.16708
95,4.87588e+09,169267019776,0.155872
94,4.82345e+09,169267019776,0.139506
93,4.77102e+09,169267019776,0.141316
92,4.71859e+09,169267019776,0.136534
91,4.66616e+09,169267019776,0.170757
90,4.61373e+09,169267019776,0.128453
89,4.56131e+09,169267019776,0.180101
88,4.50888e+09,169267019776,0.181166
87,4.45645e+09,169267019776,0.173582
86,4.40402e+09,169267019776,0.201318
85,4.35159e+09,169267019776,0.148808
84,4.29916e+09,169267015680,0.191397
83,4.24673e+09,169267015680,0.130965
82,4.1943e+09,169267015680,0.129994
81,4.14188e+09,169267015680,0.137556
80,4.08945e+09,169267015680,0.153454
79,4.03702e+09,169267015680,0.170807
78,3.98459e+09,169267015680,0.148041
77,3.93216e+09,169267015680,0.200624
76,3.87973e+09,169267015680,0.176829
75,3.8273e+09,169267015680,0.183979
74,3.77487e+09,169267015680,0.154249
73,3.72244e+09,169267015680,0.171689
72,3.67002e+09,169267011584,0.195576
71,3.61759e+09,169267011584,0.166485
70,3.56516e+09,169267011584,0.14595
69,3.51273e+09,169267011584,0.154918
68,3.4603e+09,169267011584,0.190541
67,3.40787e+09,169267011584,0.162105
66,3.35544e+09,169267011584,0.158082
65,3.30301e+09,169267011584,0.19494
64,3.25059e+09,169267011584,0.166801
63,3.19816e+09,169267011584,0.159591
62,3.14573e+09,169267011584,0.172016
61,3.0933e+09,169267011584,0.127347
60,3.04087e+09,169267011584,0.187603
59,2.98844e+09,169267011584,0.145524
58,2.93601e+09,169267011584,0.165233
57,2.88358e+09,169267011584,0.149858
